"CCMCRORIGC";"Initiateurs clients";
"CCMCRORIGE";"Initiateurs externes";
"CCMCRORIGI";"Initiateurs internes";
"CCMCRORIGS";"Initiateurs fournisseurs";
"CCMIMPBOD";"Analyse impact-Lignes nomenclatures";
"CCMIMPBOH";"Analyse impact-Nomenclatures";
"CCMIMPFOD";"Analyse impact-Prévisions";
"CCMIMPFOH";"Analyse impact-Prévisions";
"CCMIMPITM";"Analyse impact-Stock";
"CCMIMPITMDET";"Analyse impact-Sites stockage";
"CCMIMPMFGD";"Analyse impact-OF";
"CCMIMPMFGH";"Analyse impact-OF";
"CCMIMPPOD";"Analyse impact-Achats";
"CCMIMPPOH";"Analyse impact-Achats";
"CCMIMPPRD";"Analyse impact-Demande achat";
"CCMIMPPRH";"Analyse impact-Demande achat";
"CCMIMPROD";"Analyse impact-Lignes gammes";
"CCMIMPROH";"Analyse impact-Gamme";
"CCMIMPSCD";"Analyse impact-S-traitance";
"CCMIMPSCH";"Analyse impact-S-traitance";
"CCMIMPSOD";"Analyse impact-Commandes ventes";
"CCMIMPSOH";"Analyse impact-Commandes ventes";
"CCMIMPSQD";"Analyse impacts - devis ventes";
"CCMIMPSQH";"Analyse impacts - devis ventes";
"CCMPLAND";"Détail plan demande changement";
"CCMPLANH";"En-tête plan dem changement";
"CCMREJDSC";"Désignation rejet";
"CDIADSP";"Répartitions a posteriori";
"CFODUDDATE";"Gestion prévisions de tréso.";
"CFOMANMVT";"Mouvements prévisionnels";
"CFOTYP";"Types prévisions de trésorerie";
"CGVDET";"Détail changement valeur";
"CHGVAL";"Changement de valeur";
"CMARKETING";"Campagne marketing";
"COFAWRK";"Certificat d'analyse";
"COMPANY";"Société";
"CONTACT";"Contacts";
"CONTACTCRM";"Interlocuteurs";
"CONTAINER";"Conteneur fret";
"CONTAINERD";"Conteneur fret détail";
"CONTAMT";"Bases annuelles";
"CONTAMTX";"Bases annuelles";
"CONTCARE";"Plan d'entretien";
"CONTCOV";"Converture contrats de service";
"CONTIDX";"Valeurs des indices";
"CONTITM";"Articles couverts";
"CONTPBL";"Compétences couvertes";
"CONTQUAL";"Contraintes qualité";
"CONTREW";"Renouvellements des contrats";
"CONTREWX";"Renouvellements des contrats";
"CONTSERV";"Contrat de service";
"CONTSERVX";"Contrat de service";
"CONTTEMPL";"Modèle de contrat de service";
"CORREP";"Représentant en charge";
"CORRESPOND";"Correspondant";
"COSTSTCB";"Structure de coûts - barèmes";
"COSTSTCD";"Structure de coûts - documents";
"COSTSTCF";"Structure de coûts - site";
"COSTSTCH";"Structure de coûts";
"COSTSTCL";"Structure de coûts - lignes";
"COSTSTCR";"Rapprochement charges";
"CPTANALIN";"Lignes comptables analytiques";
"CPTFOOTLNK";"Lignes comptables analytiques";
"CPYRAMIDC";"Groupes sections pyramides ana";
"CPYRAMIDG";"Groupes pyramides analytiques";
"CPYRAMIDN";"Groupes natures pyramides ana";
"CRMCLOB";"Clob CRM";
"CRMTRS";"Transaction de saisie CRM";
"CRMTRSVAL";"Transaction saisie valeurs CRM";
"CSFPARH";"Paramétrage Extraction En-tête";
"CSFPARL";"Paramétrage Extraction Ligne";
"CSFRES";"Résultat d'extraction";
"CSFRESD";"Analyse flux trésorerie";
"CSFRESH";"Analyse flux trésorerie";
"CSFRESL";"Analyse flux trésorerie";
"CSTAXUID";"TaxUID";
"CSVATDAA";"Données soumission en ligne";
"CSVATMAP";"Mapping soumission en ligne";
"CSVATMAPD";"Mapping soumission en ligne";
"CTRLNIVW";"Table de traivail contrôle niv";
"CTSWSP";"Système de contrôle";
"CUNLISDET";"Inventaires";
"CUNLISTE";"Listes inventaires";
"CUNSERDET";"Inventaires séries";
"CUNSESSION";"Session  inventaire";
"DADCPY";"Société DADS";
"DADFCY";"Site DAS2";
"DCLVAT";"Déclaration de TVA sur débits";
"DCLVATBOXDBD";"Détail TVA";
"DCLVATBOXH";"En-tête TVA";
"DCLVATBOXPYD";"Détail TVA";
"DCLVATPAY";"Déclaration TVA/encaissements";
"DEB";"Déclaration d'échange de biens";
"DEBPAR";"Paramètres génération DEB";
"DEBREGNAT";"Régime et nature mouvement";
"DEFVAL";"Valeurs par défaut complexes";
"DIAHOU";"Schémas horaires";
"DIETRS";"Transaction saisie analytique";
"DIETRSXX";"Transaction saisie analytique";
"DKSDATAFRA";"Signatures électroniques";
"DKSKEY";"Gestion des clés";
"DMWBPREXC";"Exceptions gestion des déchets";
"DMWPAORD";"Gestion des déchets";
"DMWPRODPACKD";"Affectation emballage article";
"DMWPRODPACKH";"Affectation emballage article";
"DMWQTY";"Quantité de déchets";
"DMWQUOTAD";"Quotas de gestion des déchets";
"DMWQUOTAH";"Quotas de gestion des déchets";
"DMWSCHEME";"Système de gestion des déchets";
"DMWWEIGHT";"Poids des déchets";
"DNODEBNOT";"Factures d'agios";
"DOOBPCINT";"Clients internes";
"DOOBPCLNK";"Association de donneur d'ordre";
"ECCSTA";"Statuts versions majeures";
"ECCVAL";"Versions";
"EDIBPRCPY";"Flux EDI par tiers société";
"EDIBPRCPYD";"Flux EDI par tiers société";
"EDIBPRPAR";"Partenaires EDI par tiers";
"EDICAT";"Catégorie EDI";
"EDICATD";"Catégorie EDI (filtres)";
"EDICATK";"Catégorie EDI (autorisations)";
"EDICATL";"Catégorie EDI (législations)";
"EDICATREF";"Référence autorisation catég.";
"EDICPYPAR";"Partenaires EDI par société";
"EDICPYPARD";"Partenaires EDI par société";
"EDICPYPARFLO";"Flux EDI par société";
"EDIDEB";"Déclaration d'échange de biens";
"EDIFCYPAR";"Partenaires EDI par site";
"EDIFLO";"Flux";
"EDIFLOA";"Pièce jointe";
"EDIFLOAP";"Paramètres";
"EDIFLOD";"Détail flux";
"EDIFRM";"Formules";
"EDIMSG";"Mapping de messages";
"EDIMSGA";"Autorisations en réception";
"EDIMSGD";"Détail mapping de messages";
"EDIPAR";"Paramétrage messages";
"EDIPARTNER";"Partenaires EDI";
"EDIPARTNERD";"Partenaires EDI";
"EDIPTC";"Protocole";
"EDIPTCD";"Détail protocole";
"EDIPTCM";"Détail protocole";
"EDIRUN";"Lancement processus";
"EDIRUND";"Lancement processus";
"EDISEG";"Segments";
"EDISEQFIL";"Fichier séquentiel";
"EDISEQFILD";"Détail fichier séquentiel";
"EDISEQFILF";"Fichiers séquentiels";
"EDISTO";"Sas";
"EDISTOC";"Clob";
"EDISTOE";"Evénements";
"EDISTOF";"Détail flux";
"EDISTOJ";"Erreur";
"EDISTOU";"Stockage";
"EDITMPDOC";"Documents";
"EDITMPLOG";"Log";
"EDITRBK";"Etat rapprochement bancaire";
"EDITRKDOC";"Documents";
"EDIXMLFIL";"Fichier XML";
"EDIXMLFILD";"Détail fichier XML";
"EDIXMLFILF";"Fichiers XML";
"EDIXMLFILP";"Détail fichier XML";
"EDIXMLFILXSD";"Fichiers XSD";
"EDIXSDUPL";"Téléchargement fichier XSD EDI";
"EDIXSDUPLLOB";"Champ lob";
"EDTDADSU";"Edition fichier DADSU";
"EDTTDS";"Edition fichier TDS";
"ESCSRE";"Historique des escalades";
"ESLSALTYP";"Types de ventes intracom.";
"ESLSALTYPD";"Types de ventes intracom.";
"ESLTYPASS";"Affec. par type vente intracom.";
"ESLTYPASSD";"Affec. par type vente intracom.";
"EURSRVDCL";"Déclaration Européenne de Services";
"EURSRVDCLD";"Déclaration Européenne de Services";
"EVCRESULT";"Résult contrôle ID TVA intracom";
"EVENTTRNP";"Transport incident";
"EXKWORD";"Mots-clés existant";
"EXPARAM";"Paramètres";
"EXPENSES";"Frais";
"EXPENSESH";"Frais";
"EXTRMPRODUCT";"Article showcase";
"EXTRMPROVIDE";"Fournisseur showcase";
"FACGROUP";"Regroupement de sites";
"FACILITY";"Sites";
"FACTOR";"Factors";
"FAEPAR";"Paramétrage FEC";
"FAMPB";"Famille de compétence";
"FAMPBQUE";"Queues concernées";
"FAMPBREP";"Collaborateurs compétents";
"FIEDIC";"Critères de ciblage";
"FIEDICFIE";"Champs critères de ciblage";
"FIFOCONVAR";"Calcul taux FIFO";
"FIFOCONVARD";"Calcul taux FIFO";
"FILTDS";"Structure fichier DADS-U";
"FISCALYEAR";"Exercices";
"FRECST";"Charge";
"FRTCLS";"Classe de fret";
"FRTCOMCOD";"Code fret de marchandises";
"FUP";"Relances effectuées";
"FUPGRP";"Groupes de relances";
"FUPTXT";"Textes de relance";
"GACCCLS";"Classes de comptes";
"GACCCODE";"Codes comptables";
"GACCCODLIG";"Lignes des codes comptables";
"GACCDEF";"Comptes par défaut";
"GACCDENCOD";"Destination comptable";
"GACCDIM";"Axes par défaut";
